phase_size, mean_jobs, 
0.1, 1.0551, 
0.2, 1.20035, 
0.3, 1.4622, 
0.4, 1.7096, 
0.5, 2.23107, 
0.6, 2.3888, 
0.7, 2.90547, 
0.8, 3.45918, 
0.9, 3.90691, 
1, 4.54133, 
1.1, 4.84472, 
1.2, 6.06819, 
1.3, 5.71161, 
1.4, 7.09176, 
1.5, 11.8707, 
1.6, 16.9515, 
1.7, 33.6819, 
1.8, 22.3686, 
1.9, 56.2538, 
2, 57.6579, 
2.1, 79.4637, 
2.2, 68.7775, 
2.3, 67.8268, 
2.4, 85.8599, 
2.5, 86.8939, 
2.6, 113.183, 
2.7, 107.318, 
2.8, 105.096, 
2.9, 111.092, 
3, 161.039, 
3.1, 130.864, 
3.2, 147.117, 
3.3, 156.241, 
3.4, 165.087, 
